term,genes,logFC
Bacterial invasion of epithelial cells,K13735,8
Bile secretion,K05666,8
Glycerolipid metabolism,K00901,8
Glycerolipid metabolism,K05881,8
Glycerolipid metabolism,K07406,8
Glycerolipid metabolism,K11529,8
Linoleic acid metabolism,K01058,8
Glyoxylate and dicarboxylate metabolism,K00042,8
Glyoxylate and dicarboxylate metabolism,K00090,8
Glyoxylate and dicarboxylate metabolism,K00284,8
Glyoxylate and dicarboxylate metabolism,K01608,8
Glyoxylate and dicarboxylate metabolism,K01637,8
Glyoxylate and dicarboxylate metabolism,K01638,8
Glyoxylate and dicarboxylate metabolism,K01816,8
Glyoxylate and dicarboxylate metabolism,K01849,8
Glyoxylate and dicarboxylate metabolism,K01915,8
Glyoxylate and dicarboxylate metabolism,K01965,8
Glyoxylate and dicarboxylate metabolism,K11529,8
Glyoxylate and dicarboxylate metabolism,K12972,8
Taurine and hypotaurine metabolism,K00625,8
Taurine and hypotaurine metabolism,K03119,8
Propanoate metabolism,K00625,8
Propanoate metabolism,K00932,8
Propanoate metabolism,K01659,8
Propanoate metabolism,K01720,8
Propanoate metabolism,K01782,8
Propanoate metabolism,K01825,8
Propanoate metabolism,K01849,8
Propanoate metabolism,K01908,8
Propanoate metabolism,K01965,8
Propanoate metabolism,K03417,8
Propanoate metabolism,K08325,8
Propanoate metabolism,K11264,8
Propanoate metabolism,K19745,8
Propanoate metabolism,K22214,8
Butanoate metabolism,K00242,8
Butanoate metabolism,K00245,8
Butanoate metabolism,K00246,8
Butanoate metabolism,K00247,8
Butanoate metabolism,K00929,8
Butanoate metabolism,K01027,8
Butanoate metabolism,K01715,8
Butanoate metabolism,K01782,8
Butanoate metabolism,K01825,8
Butanoate metabolism,K03737,8
Butanoate metabolism,K04072,8
Butanoate metabolism,K04073,8
Butanoate metabolism,K08318,8
Butanoate metabolism,K08324,8
Butanoate metabolism,K11258,8
Butanoate metabolism,K19709,8
Butanoate metabolism,K20509,8
alpha-Linolenic acid metabolism,K00632,8
alpha-Linolenic acid metabolism,K01058,8
"Alanine, aspartate and glutamate metabolism",K00261,8
"Alanine, aspartate and glutamate metabolism",K00266,8
"Alanine, aspartate and glutamate metabolism",K01915,8
"Alanine, aspartate and glutamate metabolism",K08324,8
"Alanine, aspartate and glutamate metabolism",K13051,8
"Alanine, aspartate and glutamate metabolism",K14260,8
Fatty acid biosynthesis,K00059,8
Fatty acid biosynthesis,K01897,8
Fatty acid degradation,K00121,8
Fatty acid degradation,K00249,8
Fatty acid degradation,K00529,8
Fatty acid degradation,K00632,8
Fatty acid degradation,K01782,8
Fatty acid degradation,K01825,8
Fatty acid degradation,K01897,8
Fatty acid degradation,K04072,8
Fatty acid degradation,K05939,8
Fatty acid degradation,K06445,8