Species,H1,H3,H5,H9,H10,H11,H14,H15,H17,H18,H19,H20,H21,H22,H24,H25,H26,H29,H31,H32,H33,H35,H37,H38,H39,H40,H41,H42,H44,H46,D1,D4,D5,D6,D8,D12,D13,D15,D16,D18,D19,D21,D27,D28,D29,D30,D32,D34,D36,D39,D40,D42,D43,D44,D45,D46,D48,D49,D50,D51
Enterococcus asini,1.40E-05,0,9.50E-05,0,0,0,0,0,0,3.94E-06,0,0,4.32E-05,9.35E-06,0.000218895,0,6.19E-05,0,0,0,0,0,3.40E-05,7.33E-06,0.000646728,0,0.002188328,0.000120878,3.15E-05,0,4.29E-06,9.65E-06,8.69E-06,3.00E-05,0.000577992,5.23E-05,2.81E-06,4.69E-05,2.59E-05,5.15E-05,0.003304045,3.83E-06,0,0,0.000566395,0,3.69E-05,0.000105029,1.37E-05,0,0.882196487,0.000394355,0,7.92E-05,0,0,3.42E-06,2.52E-05,0.01136332,0.000114589
Shigella sp. SF-2015,0.002194854,9.42E-05,0.007826049,0.00199297,0.001031613,0.018051876,0,6.35E-05,0.000128069,0.000146578,0,0,0.000457924,0.00125076,0.013402589,0.000466059,0.032806073,0.000122077,0.045031046,0.000592305,0.001994736,7.14E-05,0.000138127,0.004202403,0.000712838,0.014835022,0.021660601,0,0.009125184,0.077315192,0.008942342,0.002290297,0.002006543,6.33E-05,0.049533963,0.005357504,0.05425221,0.000293509,0.026469295,0.015380056,0.001018428,0.000642383,0.000792392,0.004542861,0.024029479,0.074118587,0.000368067,0.062327357,0.131768686,0.006263001,0.046608984,0.00224334,0.000101399,0.065676892,0.054139057,2.08E-05,0.001098359,0.001994949,0.002305236,0.000192852
Clostridium aminophilum,0.007300488,0.018053523,0.010842236,0.030941905,0.012669736,0.0125949,0.037651778,0.031090182,0.031097172,0.017744047,0.017832709,0.038611722,0.021941004,0.012234662,0.020379497,0.01557756,0.010491621,0.022827495,0.008654585,0.024646667,0.020743616,0.0187602,0.027212807,0.016560043,0.004154069,0.011347463,0.000741379,0.026612384,5.27E-05,0,0.011050856,0.024267565,0.017190581,0.018424011,0.004359856,0.005040298,0.010815608,0.012243847,0.004050173,0.004480609,0.013477402,0.016783956,0.019725078,0.017569174,0.00026447,0.007981776,0.013410532,0.009099408,0.005116112,0.02272297,0.003354349,0.0162009,0.038768953,0.01001881,0.009672369,0.00971336,0.023247888,0.007664821,0.005894823,0.007050707
Enterococcus avium,0,0,0,0,6.31E-06,0,0,0,0,8.61E-06,0,0,0,0,0.001777884,0,0,0,0,6.23E-06,0,0,0.026623177,4.51E-06,0.000505835,2.99E-05,0.002482021,0.005899495,9.27E-06,0.019726367,0.000109406,9.36E-06,3.18E-05,0,0.022167066,0.000144162,0.000116182,0,0.000210827,0.043497416,0.000639519,0,3.50E-06,0,0.368842615,0.000134255,0,8.94E-06,0,0,0.36296059,0.003259898,1.02E-05,0.001631245,0.008825033,0,0,2.62E-05,0.001204922,0
Lachnospiraceae bacterium 10-1,0.002424963,0.019988264,0.009104745,0.034701671,0.015777156,0.024266395,0.024380525,0.028634311,0.034552818,0.020316344,0.016327101,0.009542298,0.077946703,0.005307235,0.023594025,0.019277379,0.007977214,0.009405589,0.007405958,0.015908351,0.010228714,0.016407148,0.004407606,0.025102173,0.010446862,0.008332329,0.00072417,0.018968833,0.000287555,0.002698314,0.00411294,0.015733184,0.007360849,0.006459713,0.010859487,0.009991203,0.007678678,0.013125271,0.015112073,0.003839752,0.008205117,0.007924997,0.024853863,0.033777009,0.001062149,0.00511136,0.031644548,0.004703858,0.002043568,0.016985694,0,0.007440615,0.018852378,0.004980734,0.005885141,0.011954288,0.018521906,0.004074678,0.004399273,0.010493559
Firmicutes bacterium CAG:24,0.003773702,0.013591567,0.013118603,0.00982455,0.001626807,0.008808479,0.032351648,0.004210478,0.051930049,0.035433564,0.024225422,0.01153589,0.006957506,0.007656855,0.02404556,0.009237281,0.005799035,0.019292497,0.003858192,0.060201615,0.015837579,0.057838099,0.003101891,0.016382787,0.00783545,0.011179925,0.000253033,0.009492575,0.000253462,0,0.000944703,0.002651354,0.013960571,0.063966725,0.002377926,0.002852078,0.031458757,0.012492847,0.001260259,0.000358937,0.004546616,0.01190707,0.010617935,0.024317019,0.000250906,0.000137196,0.007947471,0.078257941,0.001849524,0.013790978,0,0.000188777,0.001278249,0.004380281,0.006466006,0.008870644,0.004129971,0.007613745,0.001171001,0.003295064
Escherichia albertii,0.002878483,7.17E-05,0.004491601,0.002889221,0.000912895,0.00955555,5.96E-05,3.62E-05,6.93E-05,7.92E-05,0,0,0.000175527,0.001076759,0.009960029,0.000219459,0.055426815,0.000228969,0.024306551,0.000539613,0.001618468,4.18E-05,0.000237923,0.004252084,0.000537408,0.023391216,0.022043533,0,0.007702792,0.060942888,0.008473724,0.002661417,0.001409406,0.003255194,0.080747662,0.004744586,0.031318321,0.0001813,0.021579077,0.021115418,0.000499933,0.001434359,0.000936192,0.002619971,0.034024216,0.075156401,0.000287696,0.046668289,0.08323908,0.004547789,0.02938833,0.001843783,0.000319323,0.036018621,0.033489888,2.84E-05,0.000664606,0.001515462,0.003031284,0.000148093
Erysipelatoclostridium ramosum,0.002481478,5.23E-05,0.000310061,8.22E-05,0.000136799,0.000618931,0.000262469,6.62E-05,0.000738148,0.003266521,5.24E-05,5.05E-05,0.000116607,0.000180201,0.002614377,0.000357012,0.001722579,7.20E-05,6.97E-05,0.001489286,0.001612929,0.000388917,0.00564798,0.00012979,0.001583145,0.002808983,5.33E-05,0.000461445,9.74E-05,0.05261,0.015925127,0.045822036,0.000510058,0.000155269,0.094434221,0.012188508,0.008974123,0.003273936,0.000920314,0.030756435,0.000775762,3.63E-05,8.04E-05,0.015858456,0.009101917,0.000467797,3.26E-05,0.00011269,0.002805699,0.000248743,5.52E-05,0.043194225,0.000334822,0.022171923,0.009628036,0.000204015,0.000176358,0.001839867,0.36050929,0.000954347
Roseburia sp. CAG:100,0.00341925,0.010825651,0.001355125,0.00487853,0.001453282,0.015317248,0.005320459,0.013288426,0.016352372,0.01756727,0.005961612,0.003742634,0.082972083,0.003841956,0.014536463,0.008404725,0.001101717,0.124381555,0.009023524,0.009706117,0.01665421,0.013881738,0.007438997,0.011970688,0.002095719,0.004076513,0.002723453,0.071795679,0,0,0.00030158,0.009771994,0.010097648,0.005295722,0.001480583,0.001012627,0.003135557,0.007948236,0.000919257,0.006495941,0.0039965,0.00215318,0.009702597,0.023145794,0.000172306,0.000870637,0.012113924,0.002142906,0.001961969,0.008513946,2.87E-06,0.005831593,0.001566743,0.003485776,0.004232348,0.019529335,0.013245787,0.002645802,0.000528295,0.001307791
Clostridium glycyrrhizinilyticum,0.008976123,0.005358936,0.001034381,0.029299354,0.014510288,0.001285799,0.003417257,0.008279316,0.003569529,0.013060033,0.00195869,0.003003908,0.005558918,0.004343981,0.005908556,0.002540168,0.003903356,0.00122308,0.001902161,0.007247982,0.004821396,0.001642374,0.001818513,0.085458539,0.000865223,0.006272763,8.76E-05,0.003959515,0.000892503,0.002643365,0.028277193,0.00595989,0.005413147,0.003405177,0.030394752,0.002233627,0.003365494,0.003733481,0.00693278,0.079251367,0.02675442,0.009502552,0.003703485,0.010430535,0.002381758,0.022184634,0.004662137,0.001547715,0.025958332,0.008328302,0,0.011351527,0.022887575,0.051986152,0.001047838,0.003521967,0.003786832,0.011402971,0.011439856,0.009168989
Citrobacter youngae,0.00086286,0.000683807,0.006029417,0.001474249,0.000520907,0.005744708,7.95E-05,9.92E-05,0.000566846,0.000408802,1.55E-05,3.48E-05,0.001609857,0.005341606,0.006206626,0.000388739,0.034998311,0.000258391,0.015494268,0.006561551,0.003730145,3.05E-05,8.15E-05,0.004717112,0.000383204,0.015126898,0.014217219,0.000463699,0.004565628,0.033149291,0.008421462,0.002567502,0.002056202,5.70E-05,0.038083058,0.001742643,0.040494593,0.000815612,0.028579292,0.015540288,0.004024047,0.000425065,0.001278142,0.003493191,0.023937504,0.043981801,0.000344364,0.026889014,0.05624398,0.005251954,0.016287841,0.001744665,0.000251004,0.023787342,0.034026232,0,0.075753263,0.001706342,0.002852057,0.000101171
Cronobacter turicensis,0.001571489,0.000384465,0.003743189,0.002685315,0.00051696,0.007624223,8.28E-05,1.77E-05,3.31E-05,0.000118359,0,1.79E-05,0.000694746,0.001679752,0.006602154,0.00022519,0.023331199,7.36E-05,0.01883919,0.006651865,0.001001837,3.45E-05,0.000171079,0.004219353,0.000489682,0.011859671,0.027040008,0.000967963,0.004797703,0.034679864,0.005294718,0.001355249,0.000654214,3.85E-05,0.037217341,0.002436899,0.02865089,0.001508933,0.056497423,0.011139945,0.010186702,0.000335623,0.000597169,0.007899932,0.013820221,0.076727159,0.00024876,0.033561021,0.059528369,0.003285368,0.022543545,0.002850574,0.000160609,0.032206638,0.028167825,0,0.004842575,0.001942859,0.001483779,7.56E-05
Enterobacter asburiae,0.001275628,0.000907983,0.00343698,0.001925733,0.000605208,0.011732824,0.000121136,3.13E-05,4.25E-05,9.52E-05,3.76E-05,0.000383779,0.002636481,0.002729809,0.007255886,0.000280726,0.021078727,0.000108997,0.018396387,0.025142314,0.001455906,2.45E-05,0.000164034,0.003976108,0.000498037,0.019279746,0.019221146,0.001294521,0.005439464,0.029605769,0.005686343,0.001844697,0.000787724,4.99E-05,0.034723247,0.003189749,0.053440038,0.001928566,0.039700263,0.009169391,0.008485344,0.00035215,0.001806489,0.005568828,0.01400667,0.053840805,0.000144318,0.024006469,0.050990422,0.005291864,0.016668329,0.001992271,0.000109393,0.028604052,0.022739257,2.29E-05,0.029327963,0.004755214,0.001274997,9.78E-05
Clostridium sp. Marseille-P299,0.002805293,0.008349714,0.011247331,0.005746428,0.004223751,0.007616897,0.004914245,0.013262514,0.022598086,0.00592418,0.007673761,0.00511895,0.009429803,0.011132801,0.013497603,0.004388864,0.006619842,0.004709248,0.005276684,0.009692216,0.014982427,0.005669717,0.006660318,0.001128711,0.005933821,0.003688735,0.035929073,0.022485984,0.000198484,0.002745829,0.000738261,0.004285516,0.007112741,0.002042184,0.005576902,0.032738295,0.005302578,0.00717755,0.00152329,0.014903982,0.012280882,0.008210352,0.003789988,0.008019894,0.110508981,0.001757145,0.006035988,0.003680799,0.003332523,0.00522291,0.000797959,0.007710171,0.001188337,0.001104327,0.002797314,0.002150524,0.001499912,0.001439807,0.005649961,0.007580957
Bacteroides paurosaccharolyticus,0.028332072,0.007510196,0.001139249,4.64E-05,0.021430598,0.00799642,0.004672378,0.001778157,0.00612663,0.00893761,0.007549471,0.010458299,0.008487109,0.008249952,0.005372248,0.025349571,0.005900778,0.018126135,0.019936707,0.011348527,0.001527201,0.003594512,0.030750259,0.007841838,0.014187298,0.007471258,0.000763328,0.019903393,0.000532752,0.02040712,0.01416513,0.001132623,0.006972892,0.002467364,0,0.017863066,0.004456004,0.002270534,0.008247297,0.004105588,0.004989198,0.00533471,0.000972579,0.000703804,0.006934963,0.00112929,0.011247212,0.006270238,0.003765293,0.006065254,0,0.027114178,0.001252639,0.004375151,0.014221093,0.015592664,0.005412105,0.016842963,0.00569547,0.005807424
Clostridium sp. ASF356,0.027990801,0.005409259,0.0068673,0.022649737,0.002717527,0.012145332,0.005182826,0.001689694,0.025348466,0.004039389,0.002706646,0.006445012,0.005472025,0.006612328,0.006779002,0.005943399,0.018222448,0.002490964,0.003466727,0.014791007,0.008792892,0.017028815,0.010636111,0.006272428,0.000819777,0.009626721,0.000392685,0.010397339,0.000644737,0.02374781,0.000663885,0.001515009,0.012223344,0.004700445,0.00519771,0.006874745,0.011252487,0.005365103,0.002819145,0.005413976,0.004902986,0.006700531,0.0039871,0.011654234,0.000514694,0.003917615,0.012481561,0.0050718,0.000833269,0.002870875,6.20E-05,0.004951374,0.007465168,0.001854512,0.014801101,0.00161346,0.002041208,0.004646945,0.003628067,0.006859983
Bifidobacterium animalis,0.001392289,0.0036757,0.010829976,0.001490341,0.000714178,0.001304294,0.007042044,0.000806676,0.00435036,0.001312491,0.000357812,0.007166339,0.001776851,0.000871602,0.002524977,0.001606363,0.000356465,0.00115211,0.001204459,0.000931642,0.001064838,0.016515156,0.004904361,0.001278171,0.000481661,0.006639514,0.011671346,0.002236772,0.000135193,0.001532274,1.61E-05,0.017508146,0.000580715,0.0023306,0.01375138,0.009451464,0.002208151,0.003379903,0.002560368,0.003988658,0.000952585,0.016408861,0.001917806,0.000990092,0.016461752,0.025281183,0.000807744,0.081196475,0.003879036,0.005392932,0.016831417,0.002007503,0.008398471,0.004527157,0.002208798,0.000514629,0.000987222,0.001423258,0.002761568,0.066091004
Raoultella planticola,0.000955607,7.74E-05,0.002154266,0.001076315,0.000294735,0.006478667,6.57E-05,0,1.31E-05,6.85E-05,0,7.19E-05,0.000246425,0.002392541,0.006453867,0.000179186,0.016688468,0.00015055,0.014506081,0.006727206,0.000819961,1.60E-05,6.16E-05,0.002010547,0.000295455,0.006445637,0.010524124,0.000247303,0.003538107,0.039338288,0.004386861,0.001353359,0.000609625,2.50E-05,0.029079736,0.002395257,0.017712013,0.000271004,0.015326628,0.012201918,0.001771806,0.000440079,0.00073526,0.003369964,0.010953969,0.036169102,0.000134332,0.022773329,0.050134174,0.005164265,0.018132402,0.000766276,7.24E-05,0.022175678,0.020978588,0,0.001264652,0.001200556,0.00085,0.000186653
Gordonibacter massiliensis,0.001255568,0.009282296,0.015695916,0.002226899,0.007853685,0.000779111,0.00316801,0.000210822,0.005590221,0.003041185,0.000816908,0.002986419,0.002674989,0.002587317,0.031861943,0.001817441,0.020433457,0.001635451,9.20E-05,6.71E-05,0.002706796,0.002250814,0.002658626,0.00047535,0.00282419,0.001146046,0.001756097,0.003196453,0.000234594,0.00040259,0.006138965,0.059402125,0.003557496,0.008424263,0.009763151,0.018814242,0.011224048,0.023728495,0.002447109,0.009221571,0.001592113,0.001408266,0.003559291,0.001914805,0.00045444,0.003686358,0.002446757,0.012134633,0.009935996,0.004106612,0.001840627,0.021185584,0.004066599,0.012112647,0.001274094,0.002447223,0.000669936,0.011780637,0.003995311,0.007318257
Gordonibacter sp. An230,0.000129673,0.002638092,0.006249229,0.001922291,0.005150686,9.88E-05,0.002934447,0.000947289,0.002373238,0.000898463,0.001137704,0.002160558,0.002082289,0.001279649,0.013926555,0.001993287,0.005792033,0.001540429,0.000316304,0.000277558,0.000909543,0.002190433,0.000570826,7.16E-05,0.001230868,0.020736672,1.24E-05,0.001335233,0.000313154,0.000236535,0.003375526,0.028202304,0.001291883,0.00268167,0.008316209,0.005746114,0.002817132,0.017609752,0.002334754,0.004376845,0.000756955,0.00086953,0.004035942,0.001077049,0.001760698,0.003133301,0.002309351,0.00222696,0.006389705,0.002479801,0.00017392,0.015506016,0.003194642,0.004272661,0.000237341,0.000773317,0.000317132,0.00329493,0.158220462,0.004128757
Eggerthella sp. 51_9,0.000592864,0.002818032,0.0024521,0.001479594,0.002086104,0.000375127,0.002637217,0.00230173,0.001193633,0.000460439,0.003163097,0.002448064,0.007093626,0.000574454,0.011030031,0.002161566,0.001735017,0.001122814,0.001071035,0.000635076,0.001438972,0.001844285,0.000413125,0.001549403,0.001061021,0.001539297,8.21E-05,0.004122067,5.15E-05,0,0.000451966,0.011721006,0.001325747,0.00162281,0.021966351,0.000534124,0.000644568,0.00281303,0.000773427,0.004731966,0.008957491,0.001730941,0.002763563,0.01398178,0,0.001854916,0.003636692,0.00255586,0.004210881,0.002243315,0.000869952,0.001398837,0.00561872,0.003075896,0.00136104,0.000458695,0.007520467,0.009763725,0.187740014,0.001872957
Lelliottia sp. PFL01,0.000805427,8.81E-05,0.00258755,0.001037227,0.000359728,0.004948068,4.26E-05,5.11E-06,1.57E-05,5.41E-05,2.31E-06,3.52E-05,0.000343093,0.000843331,0.004910557,0.000121237,0.016362164,2.10E-05,0.015291374,0.003008328,0.000945963,2.63E-05,0.000128785,0.002056385,0.000162466,0.008352012,0.008309207,0.000162117,0.004016154,0.020059926,0.003513225,0.000913707,0.00055143,1.48E-05,0.032461187,0.002053821,0.021597659,0.000228433,0.017585875,0.007606077,0.000849753,0.000260358,0.000448446,0.00285968,0.010731042,0.033295363,5.47E-05,0.023706949,0.049779129,0.002256511,0.012610109,0.000677196,7.08E-05,0.020115845,0.015376379,0,0.00748854,0.001085656,0.00094558,6.85E-05
Lachnospira multipara,0.001957729,0.007223092,0.002021011,0.002218545,0.00415008,0.00538673,0.00851074,0.023004657,0.00728411,0.003886875,0.006745506,0.016023156,0.009996942,0.005740679,0.015391201,0.005082466,0.003420624,0.004909552,0.001703974,0.014272339,0.008236074,0.010700846,0.008293781,0.000381002,0.010968951,0.014896889,0.000295501,0.00978617,7.08E-05,0.001155968,5.97E-05,0.002240615,0.010382817,0.01997737,0.004043491,0.002932922,0.00111111,0.007313256,0.000236337,0.000231292,0.000550685,0.003755514,0.003111628,0.037501877,0.001570807,0.000435265,0.008007702,0.00122611,0.000341316,0.00518816,0,0.004548837,0.002914188,0.005112732,0.001526879,0.00514402,0.006582915,0.002373859,0.004415985,0.001437057
Citrobacter rodentium,0.000845053,1.79E-05,0.002319378,0.000779626,0.000515786,0.006103372,9.72E-05,0,3.40E-05,0.000103208,0,1.77E-05,0.000207965,0.000666873,0.005448836,7.37E-05,0.016219853,0.00012143,0.014441519,0.001518361,0.000736502,9.88E-06,2.28E-05,0.002117178,0.000198864,0.007395128,0.007378126,7.31E-05,0.004075475,0.015893165,0.003573483,0.001252232,0.000639422,4.49E-05,0.033557181,0.001998841,0.018265335,8.04E-05,0.009412854,0.009497249,0.000108705,0.00024057,0.000602604,0.001802709,0.010924116,0.027945305,0.000103652,0.024967371,0.053042982,0.002624407,0.014797726,0.000836878,1.79E-05,0.020320197,0.018995607,2.26E-05,0.003509195,0.000519261,0.001153766,0.000120921
Desulfitobacterium hafniense,0.000544904,0.007259615,0.009474042,0.002421053,0.010592064,0.008016428,0.005806533,0.002841995,0.002287296,0.011156369,0.013633422,0.00875364,0.008282893,0.003933378,0.003636781,0.004926529,0.00407158,0.011706242,0.006622934,0.001743296,0.012580731,0.005937632,0.002575294,0.013041904,0.018742509,0.003723221,0.01907595,0.010090564,0.000103341,0.000789224,0.003009358,0.008663168,0.007079363,0.006271549,0.001696397,0.00307035,0.01437918,0.006146445,0.003953213,0.001501609,0.004136113,0.002951832,0.004361741,0.004062636,0.00084813,0.001027862,0.004602393,0.004137892,0.001709506,0.002847191,0.000935894,0.001162217,0.001486112,0.004451137,0.002345958,0.002468663,0.002473416,0.002026758,0.002610855,0.012142293
Eggerthella sp. YY7918,0.000418137,0.006920931,0.010353824,0.000764304,0.004458185,0.001584607,0.00744931,0.000921084,0.001112941,0.004348192,0.002510451,0.001425353,0.005230896,0.004483885,0.017285443,0.002504805,0.00688052,0.001979665,0.00385981,0.000824266,0.00257514,0.002742793,0.000524763,0.000224797,0.000527294,0.002269851,7.99E-05,0.004603999,0.000221463,0.000497276,0.006568426,0.064091474,0.002161833,0.01055556,0.013998761,0.007152465,0.005358828,0.014380282,0.004394167,0.001567526,0.001182248,0.004794633,0.00432967,0.003203361,2.63E-05,0.001458751,0.002859876,0.009177971,0.00478559,0.013224392,0.003205152,0.01983816,0.00324088,0.013631348,0.002189906,0.000995839,0.000275178,0.007056206,0.001253356,0.004554467
Enterococcus sp. HSIEG1,2.78E-05,2.06E-06,0.000229017,0,0,0,0,0,0,0,0,0,0,8.08E-06,0,0,0,0,0,0,0,0,0,0,0.000510807,0,0.034016008,0.000933083,0,0,9.84E-06,0,0,0,0.001455587,8.67E-05,3.01E-06,0,3.93E-05,0.000199206,6.13E-06,0,0,0,0.003191171,6.73E-05,0,0.000197042,0,0,0.286947445,0.0003783,0.000498882,0.000278804,7.39E-05,0,0,0,3.54E-05,0
Prevotella amnii,0.000884783,0.004122543,0.003486701,0.002250087,0.00020593,5.32E-05,0.00507873,0.000523298,0.001135273,0.000208956,0.00046799,0.012641217,0.000260714,0.001584453,0.010442225,0.018386388,0.001869192,0.000265906,4.22E-05,0.000213962,0.002674751,0.005761289,0.004123174,0.006682904,0,0.008237609,0.000426772,0.000259427,0.004204582,0,0.014245048,0.006275101,0.007195199,0.00153331,0.000162963,0.007683161,0.003371222,0.024005459,0.003404371,0.041500024,0.018874688,0.007594415,0.004508495,0.019047179,0.005895709,0.009514451,0.004476818,0.001832807,0.005309374,0.000245026,0,0.000194992,0.00365981,0.000460522,0,0.00230422,0.008098963,0.019116621,0.000171422,0.004686147
Mycobacterium avium,0.000577026,0,0.004182689,0.000412425,0.000187558,0.002145644,0,0,0,4.48E-05,0,0,4.71E-05,0.000576741,0.002263886,0.000116173,0.004568439,1.57E-05,0.00896788,3.09E-05,0.000658532,1.56E-05,3.59E-05,0.001465732,0.000376033,0.00193024,0.005738919,0,0.001207548,0.02308872,0.00314107,0.000500252,0.00032598,0,0.010440877,0.001477931,0.020456623,0.000339022,0.007901579,0.004825432,0.000308326,0.000400743,0.000187983,0.005581317,0.004495003,0.013750201,0.000222021,0.015468087,0.109435102,0.002366944,0.010201888,0.00065085,3.10E-05,0.014710876,0.013554401,0,0.000614887,0.000727315,0.001326355,2.72E-05