term,genes,name
Propanoate metabolism,K00625,"E2.3.1.8,pta"
Propanoate metabolism,K00932,tdcD
Propanoate metabolism,K01659,prpC
Propanoate metabolism,K01720,prpD
Propanoate metabolism,K01782,fadJ
Propanoate metabolism,K01825,fadB
Propanoate metabolism,K01849,"E5.4.99.2B,mcmA2"
Propanoate metabolism,K01908,prpE
Propanoate metabolism,K01965,"PCCA,pccA"
Propanoate metabolism,K03417,prpB
Propanoate metabolism,K08325,yqhD
Propanoate metabolism,K11264,"scpB,mmcD"
Propanoate metabolism,K19745,acuI
Propanoate metabolism,K22214,scpC
Butanoate metabolism,K00242,"sdhD,frdD"
Butanoate metabolism,K00245,frdB
Butanoate metabolism,K00246,frdC
Butanoate metabolism,K00247,frdD
Butanoate metabolism,K00929,buk
Butanoate metabolism,K01027,OXCT
Butanoate metabolism,K01715,crt
Butanoate metabolism,K01782,fadJ
Butanoate metabolism,K01825,fadB
Butanoate metabolism,K03737,"por,nifJ"
Butanoate metabolism,K04072,adhE
Butanoate metabolism,K04073,mhpF
Butanoate metabolism,K08318,yihU
Butanoate metabolism,K08324,sad
Butanoate metabolism,K11258,ilvM
Butanoate metabolism,K19709,ydiF
Butanoate metabolism,K20509,madB